"Product Grid","Product Grid"
"Grid Default Editable Columns","Grid Default Editable Columns"
"Allow to edit additional attribute columns on the grid","Allow to edit additional attribute columns on the grid"
"Grid Attribute Columns","Grid Attribute Columns"
"Click to edit this cell right on the grid.","Click to edit this cell right on the grid."
"Show","Show"
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
"Qty Sold","Qty Sold"
"For Qty","For Qty"
" Price"," Price"
"You are trying to add too many attributes to the grid. The database has a limit of tables in a join.","You are trying to add too many attributes to the grid. The database has a limit of tables in a join."